<sil>	SIL	sil
示寂	ジジャク	j i j a k u
示せ	シメセ	sh i m e s e
礎石	ソセキ	s o s e k i
散文	サンブン	s a ng b u ng
貞慶	ジョウケイ	j o u k e i
賜わ	タマワ	t a m a w a
磯貝	イソガイ	i s o g a i
貞宝	テイホウ	t e i h o u
業風	ゴウフウ	g o u f u u
賞嘆	ショウタン	sh o u t a ng
福手	フグテ	f u g u t e
外周	ガイシュウ	g a i sh u u
賞金	ショウキン	sh o u k i ng
楮根	カゾネ	k a z o n e
磯浦	イソウラ	i s o u r a
並存	ヘイソン	h e i s o ng
福栖	フクス	f u k u s u
賢台	ケンダイ	k e ng d a i
磯岡	イソオカ	i s o o k a
賢子	サトコ	s a t o k o
賢明	ケンメイ	k e ng m e i
外圧	ガイアツ	g a i a ts u
外在	ガイザイ	g a i z a i
並称	ヘイショウ	h e i sh o u
外坪	トツボ	t o ts u b o
磨滅	マメツ	m a m e ts u
壱畝	ヒトセ	h i t o s e
外套	ガイトウ	g a i t o u
質さ	タダサ	t a d a s a
椎倉	シグラ	sh i g u r a
貝類	カイルイ	k a i r u i
磁束	ジソク	j i s o k u
質美	シツミ	sh i ts u m i
植谷	ウエタニ	u e t a n i
福谷	ウキガイ	u k i g a i
植草	ウエクサ	u e k u s a
碾茶	ヒキチャ	h i k i ch a
外征	ガイセイ	g a i s e i
中上	ナカウエ	n a k a u e
声聞	ショウモン	sh o u m o ng
声涙	セイルイ	s e i r u i
斬罪	ザンザイ	z a ng z a i
極り	キマリ	k i m a r i
確保	カクホ	k a k u h o
声声	コエゴエ	k o e g o e
福音	フクイン	f u k u i ng
確か	タシカ	t a sh i k a
禦が	フセガ	f u s e g a
碩子	ヒロコ	h i r o k o
碩儒	セキジュ	s e k i j u
碧雲	ヘキウン	h e k i u ng
声問	コエトイ	k o e t o i
賭博	トバク	t o b a k u
賺さ	スカサ	s u k a s a
禰次	ネツギ	n e ts u g i
碑石	ヒセキ	h i s e k i
購い	アガナイ	a g a n a i
碑殿	ヒドノ	h i d o n o
碎こ	クダコ	k u d a k o
植芝	ウエシバ	u e sh i b a
植竹	ウエタケ	u e t a k e
植畑	ウエハタ	u e h a t a
壮齢	ソウレイ	s o u r e i
贄浦	ニエウラ	n i e u r a
秀人	ヒデト	h i d e t o
壮観	ソウカン	s o u k a ng
硼酸	ホウサン	h o u s a ng
外様	トザマ	t o z a m a
豪邸	ゴウテイ	g o u t e i
豪農	ゴウノウ	g o u n o u
中保	ナカホ	n a k a h o
豪快	ゴウカイ	g o u k a i
中元	チュウゲン	ch u u g e ng
壮大	ソウダイ	s o u d a i
秀吟	シュウギン	sh u u g i ng
硬水	コウスイ	k o u s u i
秀哉	ヒデヤ	h i d e y a
贈答	ゾウトウ	z o u t o u
贈賄	ゾウワイ	z o u w a i
硬め	カタメ	k a t a m e
植槻	ウエツキ	u e ts u k i
秀実	ヒデミ	h i d e m i
秀家	ヒデイエ	h i d e i e
贋造	ガンゾウ	g a ng z o u
秀峰	シュウホウ	sh u u h o u
秀平	シュウヘイ	sh u u h e i
極右	キョクウ	k y o k u u
植栗	ウエグリ	u e g u r i
中印	ナカイン	n a k a i ng
硫安	リュウアン	r y u u a ng
硫化	リュウカ	r y u u k a
植松	ウエマツ	u e m a ts u
植村	ウエムラ	u e m u r a
硝子	ガラス	g a r a s u
植本	ウエモト	u e m o t o
贓品	ゾウヒン	z o u h i ng
中台	チュウタイ	ch u u t a i
下毛	シモゲ	sh i m o g e
秀才	シュウサイ	sh u u s a i
中味	ナカミ	n a k a m i
破鏡	ハキョウ	h a k y o u
断切	タチキ	t a ch i k i
象眼	ゾウガン	z o u g a ng
象徴	ショウチョウ	sh o u ch o u
破裂	ハレツ	h a r e ts u
破篭	ワリゴ	w a r i g o
断層	ダンソウ	d a ng s o u
断崖	ダンガイ	d a ng g a i
破獄	ハゴク	h a g o k u
破瀬	ワレセ	w a r e s e
岩盤	ガンバン	g a ng b a ng
破ろ	ヤブロ	y a b u r o
士爵	シシャク	sh i sh a k u
士族	シゾク	sh i z o k u
楸邨	シュウソン	sh u u s o ng
士幌	シホロ	sh i h o r o
外花	トバナ	t o b a n a
断片	ダンペン	d a ng p e ng
岩稲	イワイネ	i w a i n e
岩穴	イワアナ	i w a a n a
破け	ヤブケ	y a b u k e
岩織	イワオリ	i w a o r i
赤前	アカマエ	a k a m a e
豊饒	ブニョウ	b u n y o u
断簡	ダンカン	d a ng k a ng
豊間	トヨマ	t o y o m a
豊部	トヨベ	t o y o b e
砲声	ホウセイ	h o u s e i
秀逸	シュウイツ	sh u u i ts u
士別	シベツ	sh i b e ts u
砥草	トクサ	t o k u s a
砥粉	トノコ	t o n o k o
植山	ウエヤマ	u e y a m a
壟断	ロウダン	r o u d a ng
教諭	キョウユ	k y o u y u
豊潤	ホウジュン	h o u j u ng
赤岡	アカオカ	a k a o k a
赤岩	アカイワ	a k a i w a
砥堀	トホリ	t o h o r i
研師	トギシ	t o g i sh i
壊れ	コワレ	k o w a r e
赤枝	アカエダ	a k a e d a
私塾	シジュク	sh i j u k u
壊し	コワシ	k o w a sh i
壊さ	コワサ	k o w a s a
赤池	アカイケ	a k a i k e
植園	ウエソノ	u e s o n o
壁谷	カベヤ	k a b e y a
壁画	ヘキガ	h e k i g a
砂辺	スナベ	s u n a b e
豊津	トヨツ	t o y o ts u
砂見	スナミ	s u n a m i
赤浦	アカウラ	a k a u r a
赤海	アコウミ	a k o u m i
壁書	ヘキショ	h e k i sh o
外里	トザト	t o z a t o
壁巣	カベス	k a b e s u
新万	シンマン	sh i ng m a ng
下期	シモキ	sh i m o k i
赤牛	アカウシ	a k a u sh i
砂粒	サリュウ	s a r y u u
豊治	トヨジ	t o y o j i
私的	シテキ	sh i t e k i
赤痢	セキリ	s e k i r i
墾田	コンデン	k o ng d e ng
砂漠	サバク	s a b a k u
砂湯	スナユ	s u n a y u
墳頂	フンチョウ	f u ng ch o u
中宮	チュウグウ	ch u u g u u
教子	キョウコ	k y o u k o
墨痕	ボッコン	b o q k o ng
墨田	スミダ	s u m i d a
砂山	サヤマ	s a y a m a
楽に	ラクニ	r a k u n i
教唆	キョウサ	k y o u s a
私部	キサベ	k i s a b e
赤貝	アカガイ	a k a g a i
豊島	テシマ	t e sh i m a
赤連	アカレン	a k a r e ng
岬之	ハナノ	h a n a n o
石鯛	イシダイ	i sh i d a i
秋分	シュウブン	sh u u b u ng
秋台	アキダイ	a k i d a i
教代	ノリヨ	n o r i y o
秋堂	アキドウ	a k i d o u
赦せ	ユルセ	y u r u s e
夙に	ツトニ	ts u t o n i
石臼	イシウス	i sh i u s u
植下	ウエシモ	u e sh i m o
下拙	ゲセツ	g e s e ts u
石腸	イシチョウ	i sh i ch o u
増間	マスマ	m a s u m a
楽円	ラクエン	r a k u e ng
下折	ソソリ	s o s o r i
植上	ウエカミ	u e k a m i
岳父	ガクフ	g a k u f u
山中	サンチュウ	s a ng ch u u
赴い	オモムイ	o m o m u i
秋末	アキスエ	a k i s u e
増野	マシノ	m a sh i n o
岳谷	タケヤ	t a k e y a
石琴	セッキン	s e q k i ng
敗残	ハイザン	h a i z a ng
岸呂	キシロ	k i sh i r o
石浦	イシウラ	i sh i u r a
敗報	ハイホウ	h a i h o u
石榴	ザクロ	z a k u r o
岸田	キシタ	k i sh i t a
中州	ナカス	n a k a s u
石打	イシウチ	i sh i u ch i
岸見	キシミ	k i sh i m i
谷間	タニアイ	t a n i a i
岸辺	キシベ	k i sh i b e
石応	コクボ	k o k u b o
石庵	セキアン	s e k i a ng
楽員	ガクイン	g a k u i ng
増穂	マスホ	m a s u h o
増税	ゾウゼイ	z o u z e i
楽士	ガクシ	g a k u sh i
増田	マシタ	m a sh i t a
救護	キュウゴ	k y u u g o
救援	キュウエン	k y u u e ng
科白	セリフ	s e r i f u
楽屋	ガクヤ	g a k u y a
石偏	イシヘン	i sh i h e ng
中旬	チュウジュン	ch u u j u ng
増治	マスジ	m a s u j i
楽座	ラクザ	r a k u z a
増悪	ゾウアク	z o u a k u
谷田	タニタ	t a n i t a
ど経	ドキョウ	d o k y o u
矮林	ワイリン	w a i r i ng
秘仏	ヒブツ	h i b u ts u
救わ	スクワ	s u k u w a
短見	タンケン	t a ng k e ng
谷津	タニツ	t a n i ts u
楽界	ガッカイ	g a q k a i
租借	ソシャク	s o sh a k u
短慮	タンリョ	t a ng r y o
短大	タンダイ	t a ng d a i
峯木	ミネキ	m i n e k i
起伏	キフク	k i f u k u
増利	マサリ	m a s a r i
増分	ゾウブン	z o u b u ng
谷峨	コクガ	k o k u g a
峯田	ミネタ	m i n e t a
起業	キギョウ	k i g y o u
秩序	チツジョ	ch i ts u j o
秩父	チチブ	ch i ch i b u
起立	キリツ	k i r i ts u
知里	チサト	ch i s a t o
谷子	タニコ	t a n i k o
超人	チョウジン	ch o u j i ng
谷塚	ヤツカ	y a ts u k a
超凡	チョウボン	ch o u b o ng
超然	チョウゼン	ch o u z e ng
知花	チバナ	ch i b a n a
知美	トモミ	t o m o m i
敏腕	ビンワン	b i ng w a ng
知永	チナガ	ch i n a g a
墓表	ボヒョウ	b o h y o u
墓穴	ボケツ	b o k e ts u
知春	チハル	ch i h a r u
下宿	ゲシュク	g e sh u k u
敏治	トシジ	t o sh i j i
知徳	チトク	ch i t o k u
島出	シマデ	sh i m a d e
越佐	コツサ	k o ts u s a
越前	エチゼン	e ch i z e ng
概ね	オオムネ	o o m u n e
と腹	トフク	t o f u k u
と絶	トゼツ	t o z e ts u
越原	オッバラ	o q b a r a
と殺	トサツ	t o s a ts u
知寛	チヒロ	ch i h i r o
知守	チモリ	ch i m o r i
越年	エツネン	e ts u n e ng
越廼	コシノ	k o sh i n o
島名	シマナ	sh i m a n a
島地	シマジ	sh i m a j i
知合	シリアイ	sh i r i a i
知加	トモカ	t o m o k a
知人	シリト	sh i r i t o
中米	チュウベイ	ch u u b e i
屠ろ	ホフロ	h o f u r o
越津	コシヅ	k o sh i z u
島民	トウミン	t o u m i ng
榎見	ヨノミ	y o n o m i
程よ	ホドヨ	h o d o y o
塾せ	ジュクセ	j u k u s e
程合	ホドアイ	h o d o a i
塾し	ジュクシ	j u k u sh i
越賀	コシカ	k o sh i k a
程田	ホドタ	h o d o t a
越郎	エツロウ	e ts u r o u
塹壕	ザンゴウ	z a ng g o u
趨勢	スウセイ	s u u s e i
税制	ゼイセイ	z e i s e i
填ろ	ハマロ	h a m a r o
税収	ゼイシュウ	z e i sh u u
属地	ゾクチ	z o k u ch i
矢頃	ヤゴロ	y a g o r o
護藤	ゴンドウ	g o ng d o u
矢間	ヤザマ	y a z a m a
矢道	ヤミチ	y a m i ch i
税関	ゼイカン	z e i k a ng
矢越	ヤゴシ	y a g o sh i
展望	テンボウ	t e ng b o u
矢谷	ヤタニ	y a t a n i
矢船	ヤフネ	y a f u n e
展子	ノブコ	n o b u k o
展也	タツヤ	t a ts u y a
矢筒	ヤヅツ	y a z u ts u
矢筈	ヤハズ	y a h a z u
矢種	ヤダネ	y a d a n e
足芸	アシゲイ	a sh i g e i
新替	シンガエ	sh i ng g a e
足跡	アシアト	a sh i a t o
矢目	ヤノメ	y a n o m e
下大	シモオオ	sh i m o o o
矢留	ヤドミ	y a d o m i
跋語	バツゴ	b a ts u g o
議決	ギケツ	g i k e ts u
矢洗	ヤアライ	y a a r a i
矢沢	ヤサワ	y a s a w a
跨ぎ	マタギ	m a t a g i
峻厳	シュンゲン	sh u ng g e ng
峻嶺	シュンレイ	sh u ng r e i
峻拒	シュンキョ	sh u ng k y o
跫音	キョウオン	k y o u o ng
路代	ミチヨ	m i ch i y o
路側	ロソク	r o s o k u
榮助	エイスケ	e i s u k e
路肩	ロカタ	r o k a t a
榮吉	エイキチ	e i k i ch i
故実	コジツ	k o j i ts u
新本	シンホン	sh i ng h o ng
矢徳	ヤトク	y a t o k u
矢引	ヤビキ	y a b i k i
稚拙	チセツ	ch i s e ts u
崎戸	サキト	s a k i t o
矢庭	ヤニワ	y a n i w a
政談	セイダン	s e i d a ng
崎田	サキダ	s a k i d a
崎辺	サキベ	s a k i b e
矢幅	ヤハバ	y a h a b a
矢嶋	ヤジマ	y a j i m a
崩し	クズシ	k u z u sh i
識語	シキゴ	sh i k i g o
矢尻	ヤジリ	y a j i r i
矢守	ヤモリ	y a m o r i
矢坪	ヤツボ	y a ts u b o
譏ろ	ソシロ	s o sh i r o
崩そ	クズソ	k u z u s o
種具	タネグ	t a n e g u
椋名	ムクナ	m u k u n a
矢作	ヤサク	y a s a k u
矢代	ヤシロ	y a sh i r o
政津	マサツ	m a s a ts u
矢中	ヤナカ	y a n a k a
崩御	ホウギョ	h o u g y o
塩納	シオノウ	sh i o n o u
屋平	ヤヒラ	y a h i r a
多欲	タヨク	t a y o k u
種材	タネキ	t a n e k i
塩新	シオアラ	sh i o a r a
嵩む	カサム	k a s a m u
屋外	オクガイ	o k u g a i
嵩張	カサバ	k a s a b a
種目	シュモク	sh u m o k u
瞑ろ	ツブロ	ts u b u r o
種苗	シュビョウ	sh u b y o u
下司	クダシ	k u d a sh i
串戸	クシド	k u sh i d o
睨も	ニラモ	n i r a m o
串間	クシマ	k u sh i m a
踏瀬	フマセ	f u m a s e
放電	ホウデン	h o u d e ng
放論	ホウロン	h o u r o ng
槌屋	ツチヤ	ts u ch i y a
蹂躙	ジュウリン	j u u r i ng
謫居	タッキョ	t a q k y o
屋入	ヤニュウ	y a n y u u
蹣跚	マンサン	m a ng s a ng
丸み	マルミ	m a r u m i
睦月	ムツキ	m u ts u k i
睦家	ムツヤ	m u ts u y a
稲牛	イナウシ	i n a u sh i
睦め	ムツメ	m u ts u m e
睥睨	ヘイゲイ	h e i g e i
多病	タビョウ	t a b y o u
稲童	イナドウ	i n a d o u
多発	タハツ	t a h a ts u
睡蓮	スイレン	s u i r e ng
謝花	ジャハナ	j a h a n a
丸和	マルワ	m a r u w a
謝敷	ジャシキ	j a sh i k i
睡ろ	ネムロ	n e m u r o
丸子	マリコ	m a r i k o
着飾	キカザ	k i k a z a
着金	チャッキン	ch a q k i ng
蹴破	ケヤブ	k e y a b u
塞げ	フサゲ	f u s a g e
着手	チャクシュ	ch a k u sh u
槻木	ツキギ	ts u k i g i
謝ん	アヤマン	a y a m a ng
着工	チャッコウ	ch a q k o u
塚野	ツカノ	ts u k a n o
蹴込	ケコミ	k e k o m i
稼が	カセガ	k a s e g a
着丈	キタケ	k i t a k e
塚地	ツカジ	ts u k a j i
下伏	ゲブセ	g e b u s e
樋山	ヒヤマ	h i y a m a
稿本	コウホン	k o u h o ng
塗料	トリョウ	t o r y o u
丸野	マルノ	m a r u n o
穂並	ホナミ	h o n a m i
穂先	ホサキ	h o s a k i
穂出	ホノデ	h o n o d e
穂刈	ホカリ	h o k a r i
穂別	ホベツ	h o b e ts u
穂北	ホキタ	h o k i t a
森野	モリノ	m o r i n o
穂状	スイジョウ	s u i j o u
穂積	ホヅミ	h o z u m i
穂綿	ホワタ	h o w a t a
多血	タケツ	t a k e ts u
丹南	タンナン	t a ng n a ng
森部	モリブ	m o r i b u
屈葬	クッソウ	k u q s o u
穂谷	ホタニ	h o t a n i
躑躅	ツツジ	ts u ts u j i
丹塗	ニヌリ	n i n u r i
謙澄	ケンチョウ	k e ng ch o u
穂香	ホニオイ	h o n i o i
丹尾	タンノオ	t a ng n o o
穂高	ホタカ	h o t a k a
攻寄	セメヨ	s e m e y o
屈性	クッセイ	k u q s e i
穂麦	ホムギ	h o m u g i
眩も	クラモ	k u r a m o
新盆	アラボン	a r a b o ng
樋沢	ヒサワ	h i s a w a
屈伸	クッシン	k u q sh i ng
下之	シタノ	sh i t a n o
眠気	ネムケ	n e m u k e
改造	カイゾウ	k a i z o u
改訂	カイテイ	k a i t e i
丹韵	タンユウ	t a ng y u u
身幅	ミハバ	m i h a b a
積子	セキコ	s e k i k o
身柄	ミガラ	m i g a r a
身柱	チリケ	ch i r i k e
積荷	ツミニ	ts u m i n i
改易	カイエキ	k a i e k i
身空	ミソラ	m i s o r a
改新	カイシン	k a i sh i ng
身篭	ミゴモ	m i g o m o
身罷	ミマカ	m i m a k a
諾否	ダクヒ	d a k u h i
諾っ	ウベナッ	u b e n a q
諾せ	ダクセ	d a k u s e
標さ	シルサ	sh i r u s a
穎脱	エイダツ	e i d a ts u
主客	シュカク	sh u k a k u
主従	シュウジュウ	sh u u j u u
身銭	ミゼニ	m i z e n i
穢す	ケガス	k e g a s u
諸鹿	モロガ	m o r o g a
夜宮	ヨミヤ	y o m i y a
躱そ	カワソ	k a w a s o
川出	カワデ	k a w a d e
居然	キョゼン	k y o z e ng
諸訳	ショワケ	sh o w a k e
主軸	シュジク	sh u j i k u
乃白	ノシラ	n o sh i r a
森目	モリメ	m o r i m e
諸色	ショシキ	sh o sh i k i
標茶	シベチャ	sh i b e ch a
標葉	シネハ	sh i n e h a
塔頭	タッチュウ	t a q ch u u
真鼻	マバナ	m a b a n a
諸数	ショカズ	sh o k a z u
真鴨	マガモ	m a g a m o
軍人	グンジン	g u ng j i ng
真頼	マヨリ	m a y o r i
久二	キュウジ	k y u u j i
穴居	ケッキョ	k e q k y o
